Language Name,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),Podcast Transcripts -,(Source),Swadesh Texts  -,(Source),Wikitexts -,(Source),FSTs
English,eng,,English/American-English_segments.html,http://phoible.org/languages/eng,English/American-English_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/English_language,English/ISLEdict.html,http://www.speech.cs.cmu.edu/cgi-bin/cmudict;https://github.com/Hyneman/moby-project,,,English/English_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages,,http://en.wikipedia.org,models/english.fst(15.3);models/american-english.fst(9.8)
Estonian,est,et,Estonian/Estonian_segments.html,,Estonian/Estonian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Estonian_language,,,sbs-pages/20150418/estonian.html,http://www.sbs.com.au/yourlanguage/estonian/,Estonian/Estonian_swadesh_list.html,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/et/,http://et.wikipedia.org,models/estonian.fst(N/A)
Fijian,fij,fj,Fijian/Fijian_segments.html,,Fijian/Fijian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Fijian_language,,,sbs-pages/20150418/fijian.html,http://www.sbs.com.au/yourlanguage/fijian/,Fijian/Fijian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Fijian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fj/,http://fj.wikipedia.org,models/fijian.fst(N/A)
Filipino,fil,tl,Filipino/Filipino_segments.html,http://phoible.org/languages/fil,Filipino/Filipino_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Filipino_language,,,sbs-pages/20150418/filipino.html,http://www.sbs.com.au/yourlanguage/filipino?language=fil,Filipino/Filipino_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Tagalog_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/tl/,http://tl.wikipedia.org,models/filipino.fst(N/A)
Finnish,fin,fi,Finnish/Finnish_segments.html,http://phoible.org/languages/fin,Finnish/Finnish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Finnish_language,,,sbs-pages/20150418/finnish.html,http://www.sbs.com.au/yourlanguage/finnish/,Finnish/Finnish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Uralic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fi/,http://fi.wikipedia.org,models/finnish.fst(N/A)
French,fra,fr,French/French_segments.html,http://phoible.org/languages/fra,French/French_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/French_language,,,sbs-pages/20150418/french.html,http://www.sbs.com.au/yourlanguage/french/,French/French_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:French_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fr/,http://fr.wikipedia.org,models/french.fst(12.1)
Fulah,ful,,Fulah/Fulah_segments.html,http://phoible.org/languages/fuh,Fulah/Fulah_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Fula_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Niger-Congo_Swadesh_lists,,,models/fulah.fst(15.8)
Georgian,kat,ka,Georgian/Georgian_segments.html,http://phoible.org/inventories/view/5,Georgian/Georgian_Mkhedruli_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Georgian_scripts,,,,,,https://en.wiktionary.org/wiki/Appendix:Georgian_Swadesh_list,,http://ka.wikipedia.org,models/georgian.fst(10.5)
German,deu,de,German/German_segments.html,http://phoible.org/languages/deu,German/German_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/German_language,,,sbs-pages/20150418/german.html,http://www.sbs.com.au/yourlanguage/german/,German/German_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:German_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/de/,http://de.wikipedia.org,models/german.fst(10.0)
Greek,ell,el,Greek/Greek_segments.html,http://phoible.org/languages/ell,Greek/Greek_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Greek_language,,,sbs-pages/20150418/greek.html,http://www.sbs.com.au/yourlanguage/greek?language=el,Greek/Greek_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Greek_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/el/,http://el.wikipedia.org,models/greek.fst(18.0)
Guarani,grn,gn,Guarani/Guarani_segments.html,http://phoible.org/inventories/view/2077,Guarani/Guarani_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Guarani_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Guaran%C3%AD_Swadesh_list,,http://gn.wikipedia.org,models/guarani.fst(10.0)
Gujarati,guj,gu,Gujarati/Gujarati_segments.html,http://phoible.org/languages/guj,Gujarati/Gujarati_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Gujarati_language,,,sbs-pages/20150418/gujarati.html,http://www.sbs.com.au/yourlanguage/gujarati?language=gu,Gujarati/Gujarati_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Aryan_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/gu/,http://gu.wikipedia.org,models/gujarati.fst(N/A)
Gulf-Arabic,afb,,,,,,Gulf-Arabic/QACdict.html,http://ifp-08.ifp.uiuc.edu/public/QAC/,,,,,,,models/gulf-arabic.fst(15.6)
Haitian Creole,hat,ht,,,Haitian/Haitian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Haitian_Creole,,,,,,,,,models/haitian.fst(17.8)
Hausa,hau,,Hausa/Hausa_segments.html,http://phoible.org/languages/hau,Hausa/Hausa_Ajami_wikipedia_symboltable.html;Hausa/Hausa_Boko_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Hausa_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Hausa_Swadesh_list,,http://ha.wikipedia.org,models/hausa.fst(15.7)
Hebrew,heb,he,Hebrew/Hebrew_segments.html,http://phoible.org/languages/heb,Hebrew/Hebrew_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Hebrew_language,,,sbs-pages/20150418/hebrew.html,http://www.sbs.com.au/yourlanguage/hebrew/,Hebrew/Hebrew_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/he/,http://he.wikipedia.org,models/hebrew.fst(N/A)
Hindi,hin,hi,Hindi/Hindi_segments.html,http://phoible.org/languages/hin,Hindi/Hindi_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Hindi_language,,,sbs-pages/20150418/hindi.html,http://www.sbs.com.au/yourlanguage/hindi?language=hi,Hindi/Hindi_swadesh_list.html;,http://en.wiktionary.org/wiki/Appendix:Hindi_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hi/,http://hi.wikipedia.org,models/hindi.fst(19.4)
Hmong,hmv,,Hmong-Dô/Hmong-Dô_segments.html,,Hmong-Dô/Hmong-Dô_wikipedia_symboltable.txt,http://en.wikipedia.org/wiki/Hmong_Daw,,,sbs-pages/20150418/hmong.html,http://www.sbs.com.au/yourlanguage/hmong/,Hmong-Dô/Hmong-Dô_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:White_Hmong_Swadesh_list,,,models/hmong-dô.fst(44.5)
Hungarian,hun,hu,Hungarian/Hungarian_segments.html,http://phoible.org/languages/hun,Hungarian/Hungarian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Hungarian_language,,,sbs-pages/20150418/hungarian.html,http://www.sbs.com.au/yourlanguage/hungarian/,Hungarian/Hungarian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Hungarian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hu/,http://hu.wikipedia.org,models/hungarian.fst(8.5)
Igbo,ibo,ig,Igbo/Igbo_segments.html,http://phoible.org/inventories/view/143,Igbo/Igbo_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Igbo_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Niger-Congo_Swadesh_lists,,http://ig.wikipedia.org,models/igbo.fst(13.8)
Indonesian,ind,id,Indonesian/Indonesian_segments.html,http://phoible.org/languages/ind,Indonesian/Indonesian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Indonesian_language,,,sbs-pages/20150418/indonesian.html,http://www.sbs.com.au/yourlanguage/indonesian?language=id,Indonesian/Indonesian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Indonesian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/id/,http://id.wikipedia.org,models/indonesian.fst(N/A)
Italian,ita,it,Italian/Italian_segments.html,http://phoible.org/languages/ita,Italian/Italian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Italian_language,,,sbs-pages/20150418/italian.html,http://www.sbs.com.au/yourlanguage/italian?language=it,Italian/Italian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Italian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/it/,http://it.wikipedia.org,models/italian.fst(14.3)
Japanese,jpn,ja,Japanese/Japanese_segments.html,http://phoible.org/languages/jpn,Japanese/Japanese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Japanese_language,,,sbs-pages/20150418/japanese.html,http://www.sbs.com.au/yourlanguage/japanese/,Japanese/Japanese_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Japanese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ja/,http://ja.wikipedia.org,models/japanese.fst(N/A)
Javanese,jav,jv,Javanese/Javanese_segments.html,http://phoible.org/inventories/view/1675,Javanese/Javanese_Latin_wikipedia_symboltable.html;Javanese/Javanese_Hanacarakan_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Javanese_script,,,,,,https://en.wiktionary.org/wiki/Appendix:Austronesian_Swadesh_lists,,http://jv.wikipedia.org,models/javanese.fst(14.0)
Kannada,kan,kn,Kannada/Kannada_segments.html,http://phoible.org/languages/kan,Kannada/Kannada_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Kannada_language,,,sbs-pages/20150418/kannada.html,http://www.sbs.com.au/yourlanguage/kannada/,Kannada/Kannada_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/kn/,http://kn.wikipedia.org,models/kannada.fst(N/A)
Kazakh,kaz,kk,,,Kazakh/Kazakh_Arabic_wikipedia_symboltable.html;Kazakh/Kazakh_Cyrillic_wikipedia_symboltable.html;Kazakh/Kazakh_Latin_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kazakh_alphabets,,,,,Kazakh/Kazakh_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,http://kk.wikipedia.org,models/kazakh.fst(13.8)
Khmer,khm,km,Khmer/Khmer_segments.html,http://phoible.org/languages/khm,Khmer/Khmer_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Khmer_language,,,sbs-pages/20150418/khmer.html,http://www.sbs.com.au/yourlanguage/khmer/,Khmer/Khmer_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Khmer_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/km/,http://km.wikipedia.org,models/khmer.fst(N/A)
Kikuyu,kik,ki,Kikuyu/Kikuyu_segments.html,http://phoible.org/inventories/view/748,Kikuyu/Kikuyu_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kikuyu_language,,,,,,,,http://ki.wikipedia.org,models/kikuyu.fst(N/A)
Kinyarwanda,kin,rw,Kinyarwanda/Kinyarwanda_segments.html,http://phoible.org/inventories/view/911,Kinyarwanda/Kinyarwanda_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kinyarwanda,,,,,,,,http://rw.wikipedia.org/,models/kinyarwanda.fst(N/A)
Kirghiz;Kyrgyz,kir,,Kirghiz/Kirghiz_segments.html,http://phoible.org/languages/kir,Kirghiz/Kirghiz_Cyrillic_wikipedia_symboltable.html;Kirghiz/Kirghiz_Turkish_wikipedia_symboltable.html;Kirghiz/Kirghiz_Arabic_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kyrgyz_alphabets,,,,,Kirghiz/Kirghiz_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,,models/kirghiz.fst(14.7)
Kongo,kon,kg,Kongo/Kongo_segments.html,http://phoible.org/inventories/view/1571,Kongo/Kongo_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kongo_language,,,,,,,,http://kg.wikipedia.org,models/kongo.fst(N/A)
Korean,kor,ko,Korean/Korean_segments.html,http://phoible.org/languages/kor,Korean/Korean_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Korean_language,,,sbs-pages/20150418/korean.html,http://www.sbs.com.au/yourlanguage/korean?language=ko,Korean/Korean_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Korean_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ko/,http://ko.wikipedia.org,models/korean.fst(N/A)
Kurdish,kur,ku,Kurdish/Kurdish_segments.html,http://phoible.org/languages/kmr,Kurdish/Kurdish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Kurdish_language,,,sbs-pages/20150418/kurdish.html,http://www.sbs.com.au/yourlanguage/kurdish/,Kurdish/Kurdish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Kurdish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ku/,http://ku.wikipedia.org,models/kurdish.fst(14.0)
Lao,lao,lo,Lao/Lao_segments.html,http://phoible.org/languages/lao,Lao/Lao_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Lao_language,,,sbs-pages/20150418/lao.html,http://www.sbs.com.au/yourlanguage/lao/,Lao/Lao_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Tai-Kadai_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lo/,http://lo.wikipedia.org,models/lao.fst(20.1)
Latvian,lav,lv,Latvian/Latvian_segments.html,,Latvian/Latvian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Latvian_language,,,sbs-pages/20150418/latvian.html,http://www.sbs.com.au/yourlanguage/latvian/,Latvian/Latvian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Latvian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lv/,http://lv.wikipedia.org,models/latvian.fst(N/A)
Levantine Arabic,ajp,,Levantine-Arabic/Levantine-Arabic_segments.html,,Levantine-Arabic/Levantine-Arabic_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Levantine_Arabic,Levantine-Arabic/ajpdict.html;Levantine-Arabic/abdeljawad81appC.html;Levantine-Arabic/abdeljawad81appD.html;Levantine-Arabic/abdeljawad81table3_6.html,,,,Levantine-Arabic/Levantine-Arabic_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Palestinian_Arabic_Swadesh_list,,,models/levantine-arabic.fst(N/A)
Lithuanian,lit,lt,Lithuanian/Lithuanian_segments.html,http://phoible.org/languages/lit,Lithuanian/Lithuanian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Lithuanian_language,,,sbs-pages/20150418/lithuanian.html,http://www.sbs.com.au/yourlanguage/lithuanian/,Lithuanian/Lithuanian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Lithuanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lt/,http://lt.wikipedia.org,models/lithuanian.fst(11.5)
Luba-Lulua,lua,,,,Luba-Lulua/Luba-Lulua_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Luba-Kasai_language,,,,,,,,,models/luba-lulua.fst(N/A)
Luo;Dholuo,luo,,,http://phoible.org/inventories/view/448;http://phoible.org/inventories/view/694;http://phoible.org/inventories/view/153,Luo/Luo_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Luo_dialect,,,,,,,,,models/luo.fst(15.5)
Macedonian,mkd,mk,Macedonian/Macedonian_segments.html,http://phoible.org/languages/mkd,Macedonian/Macedonian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Macedonian_language,,,sbs-pages/20150418/macedonian.html,http://www.sbs.com.au/yourlanguage/macedonian/,Macedonian/Macedonian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Macedonian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/mk/,http://mk.wikipedia.org,models/macedonian.fst(N/A)
Malagasy,mlg,mg,Malagasy/Malagasy_segments.html,http://phoible.org/inventories/view/31,Malagasy/Malagasy_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Malagasy_language,,,,,,,,,models/malagasy.fst(N/A)
