IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
d̠ʒʼ	76A42A7D8ECAE0C5DE8758BA41B44979	c-d-c-c	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	+	+			-	-	-	-	+	-	-			-
ɔ̃ĩ	77129A49A60F2CF22775498D7C74F8DA	v-c-v-c	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	-,+		-
ɡǁ͓	772108E0059677FE3D6DF63A32864C2B	c-c-d	consonant		+	-	-	+	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɬ̪	7745ED33224767336C730D0142AAE49D	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
d̪ɮ̪	774B2D474756D74326C3539C46BF3840	c-d-c-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		+	-		-	-	+	-			-	-	-	-	-	-	-			-
ɛj	7765789AB91552691733A8CACC669B19	v-c	vowel	-		+	-	-	-	-	+	-			+	-	-	+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+,-	-	-,+		-
pʃʰ	77A6E615B559575F079FED0B9C0885EF	c-c-c	consonant		-	-		-	+	-	-,+	-,+	-,+	+	-	-	-			+,-	-	-	-		-	-	-	-		-	-	-	+	-	+	-	-			-
ḭˑ	77CD446C413CB40DC0A864A8F123B804	v-d-d	vowel	-		+	-		-	+	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		+	+	-	-		+	-	+		-
wˀ	77D1EFA8F4C60659602EA767A1F7C9BC	c-c	consonant			+	+	-	-	+	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
eɔ	77E54E505C64B74E36A1B4AC691C3CF9	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	-	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
cçʰ	77FB1967C8D16A666F18E8A4E9CB2CFD	c-c-c	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
r̪ˤ	7817826F9B8FC95FD256CA8B45ABC498	c-d-c	consonant	-	+	+		-	+	-	+	+		+	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	-			+
n̪t̪ʰ	781D1A238499814E0D3E1B0C1EEE7F3F	c-d-c-d-c	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	+	-	-	-	-			-
ă	7875446DB8D24AFCE4E59643BBEA0875	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		+	+	-	-		+	-			-
o̙	787FBE54C98AE35398D771CF2D47AAE1	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	+		-
k̟	788A21A51B512E5D85AC93FCB2C5F4B3	c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ʁ̞̰ʷ	789B2DE7CD8842F0382E56148C3411C9	c-d-d-d	consonant			-	+	-	+	+	+	-	+		+	-	-	-	-	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
χʷˤː	78EA10D5D403710E6492ABC8FFD9D130	c-d-c-d	consonant	-		-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	+	-	-	-	-	-	+	+	-	-	-	-		-	-			-
ɱv	78ECCEC98B7CCA643E9C420750F7D4B1	c-c	consonant			-		-	+	-	-,+	-	+		-	-	-			+	+	-	-		-	+,-	+	-		-	-	+,-	-	-		-	-			-
kǂʼ	78FF70B570134C274B58DA11237A3EE2	c-c-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
tsʷʰ	7923B7E1859F891FD08B68F016654DB7	c-c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			+		-	-		-	-	-	-		+	-	-	+	-	+	-	-			-
r̪ˠ	793E03F029E9FDA052CD247710E45465	c-d-d	consonant		+	+	+	-	+	-	+	+		+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	-			+
ɾ	795215076D89B5B17C0D147BE5C341E3	c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
dʼkxʼ	7967AAF3C06AF44484976E5ECB1FA8BE	c-c-c-c-c	consonant					-																																
aʊ	79962761F2FA50891138646C7FB9345F	v-v	vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
n̤d̤	79BD2CCB7398FD1322B9B71895E91633	c-d-c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+,-	+	-			-	+,-	+	-	-	-	-			-
kʷʼ	79CFDD4943BC9A9354E6A0E965288214	c-d-c	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
ã̟	79D938FE971D805A5F254D6E6F6AAB2A	v-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
t̪θ	7A0ED7FE7FB48CEC13BE1C677E37C1D1	c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
dzʰ	7A33489E90AB46EC8DADD02AE7483486	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
qʷˤʼ	7A6B75451B8F79FC5FD209729D07B9E8	c-d-c-c	consonant	-		-	+	-	+	+	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	+	+	+	-	-	-	-		-	-			-
l̤	7A6E282428E30E734D69822920207F64	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	+	-	-	-	-			-
nɗ	7A6F97AA01C20AF5873075E4ED092D20	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-,+	+,-	+	-			-	+,-	-	-	-	-	-			-
o̰	7A73B4B6C74CEFC35CC94376E1F9A7D8	v-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
u̜	7A9B91EE7D803D3465609A64358C07F5	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɡʼ	7AC1612D842A96B9FADAFB797BD7A5C0	c-c	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-		-	-			-
t̠ʃˠ	7AC768B0EF9E30041E47ECAD888902A0	c-d-c-d	consonant		-	-	+	-	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
ld	7ACF17BF94CC9BB906AF3F3CD615C454	c-c	consonant		+	+,-		-	+	-	+,-	+	-	-	-	-	-			-		+,-	-		-	-	+	-			-	+,-	-	-	-	-	-			-
ʊa	7B19DF4EAB2A03B16BE2C19165F2F68E	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-,+	-	-	+	-	-	+	-	+	-	-		+	-	-		-
e̞ː	7B6489AE98B6E326169F03D41D94EF20	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ṽ	7B733AC6E3CC019E77B11DF92FAA7023	c-c	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	+	+	-		-	-	-	-	-		-	-			-
iʊ	7BE3F6435741130B653CD4CAEF7F51D5	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
ŋ̤ɡ̤	7C3C218AD138E5B1EA947B74E16B7321	c-d-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+	-			-	+,-	+	-		-	-			-
kʟ̥ʼ	7C52428FADCFCC58F328DF6591A7AF5F	c-c-d-c	consonant			-,+	-	-	+	+	-,+	-	-		+	-	-	-	+	-		-,+	-	-	-	-	-	+			-	-,+	-	-		-	-			-
mʰ	7C6A808CC61BC0BC3BB661BA6E049911	c-c	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	+	-		-	-			-
ɡ̰ǂx	7C938A1719DC89E3F5D06606ADB5FED5	c-d-c-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
d̃	7CCEA2A606A4ED7416E9283FCEF70438	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+	+	-			-	-	-	-	-	-	-			-
ĭ	7CF7FAEFD43EC8AAF037FF1DF30C6E1F	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	+		-
θ	7D184A6DCDA3EB154F9CB34651E02EEE	c	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
o̝	7D3581E66B87A5394BBC4CD071784D2D	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɔː	7D4AEC4169D5DB682621A0F86C706FC9	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɡǂ͓ˡ	7D578B5D69B29E94CE775A46364B94C4	c-c-d-d	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɐ	7D5E23AD8E7FC92894F94CEB664FBE7C	v	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-			-
kʷʱ	7D6B77168A83A83505CC8AF54D22B9DC	c-d-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	+	-		-	-			-
ps	7D829485AF969ABACF6DE3EBDAF0F42B	c-c	consonant		+	-		-	+	-	-,+	-,+	-,+	-	-	-	-			+,-	-	-	-		-	-	-	-		-	-	-	-	-	+	-	-			-
pʱ	7DA7B5896CFFC7827CBFB7C325E61FAB	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
ɭː	7DCF86CCBEEB367764BC474D32A221F0	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
tːs	7DE63DD8C3C67063F12DE78D0F76F337	c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
a̰ḭ	7DF7BDF15E886CF89BA19FD6596CBA31	v-d-v-d	vowel	-		+	-		-	+	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
eˀ	7E1AB9FA833BC35A2A124D28419F26F9	v-c	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
n̻ʲ	7E4DE8F6C84FCC3464A29728283EBFED	c-d-d	consonant		+	-	+	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
z͇	7E58233F4297C1AA124C2E8EE0FE611B	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɳʈr̠̥	7E73D9EEB810BF27B5ED62509FAD66D1	c-c-c-d-d	consonant		-	-,+		-	+	-	-,+	+	-	+	-	-	-			-		-	-		-	+,-,-	-	-			-	+,-,+	+	-	-	-	-			-,+
ɯ̤i̤	7E877DD096EC01F798E80BCB1A9F2E0F	v-d-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	+		-
d̻	7E92332057C9E596A64F461CBA82AF22	c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
n̪z̪	7EBB2278C44F68476E651991CE3A6554	c-d-c-d	consonant		+	-		-	+	-	-,+	+	+	+	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-	-	-,+	-	-			-
˦˥	7EC2D4C8D7E0603C0F0F7A05E94EDF7D	t-t	tone																																				+	
k̟ʰ	7EEACD772DD465045C8256E6BF8B241D	c-d-c	consonant			-	-	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
ɓʷ	7EEB6A1866901C5DE28E06E88551C07D	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	+	-		+	-	-	-	-		-	-			-
ɔ̰ː	7F4D20C39D0095C519B795D90A826C28	v-d-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
uj	7F53C51D3A42944A7D0737D071C6C843	v-c	vowel	-		+	+,-	-	-	-	+	-			+	-	-	-,+	+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+,-	-	+		-
e̘	7F68A9285E7300742D54F0712244DB12	v-d	vowel	+		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɪ̯	7F69D8B8CEDF1371A00B4D4A961618C1	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	-		-
d̠̰	7F733019F85B29ACAB3980C83E56C03A	c-d-d	consonant		-	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̻ː	7FCBD172980A3EF859A47231D28990F0	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
˥˨˧	7FDF85C24BF708252CDB6A29CF162D66	t-t-t	tone																																				+	
s	7FF174469DAC4E61520F4E1610B2F088	c	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
aw	7FF9CE2E3E82788B4FF51ABA6AE42B60	v-c	vowel	-		+	-,+	-	-	-	+	-			+	-	-	-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+,-	-	+		-
ja	80040E39D7164484CBB2338A18B395E8	c-v	consonant	-		+	-	-	-	-	+	-			+	-	-	+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		-,+	-	+		-
n̠t̠ʃʼ	8022E12076067D2664AFD7EDCF1AB2CC	c-d-c-d-c-c	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	+,-	-	+			-	+,-	-	-	+	-	-			-
ŋ̥ǁ	804839E511504309087F71DB32CB9294	c-d-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
rʼː	806EDC0DF58FB0780DF95F99C4ABF760	c-c-d	consonant		+	+		-	+	+	+	+		-	-	-	-			-		-	+		-	-	+	+			-	+	-	-	-	-	-			+
ʊi	807DFD5ECAA9C5C70BAAA81E61F8F52F	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
ˀt̪s	80A976B7AA0ACC95B75931D316AAAC38	c-c-d-c	consonant		+	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ˀl̪̥	80DC02254E75DB621FED2FFB8BD2B11B	c-c-d-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	-	-			-	+	+	-	-	-	-			-
ɤ	80E0B47CF9A1F002B35B6AAB49574C61	v	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
d̪̤	8102B48ED662ED3BEC1E6C024596DF4F	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	+	-	-	-	-			-
ᶑʼː	811E27215B85819D7546B78D9E7FD932	c-c-d	consonant		-	-		-	+	+	-	+	-	-	-	-	-			-		-	+		+	-	+	+			-	-	-	-	-	-	-			-
r̺	81345F12922D0D6811F6BE87C0593038	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
i̘	81523B8AEAB1A611724A1590FB4AED73	v-d	vowel	+		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ay	8154FCBD2FE28F50ACBB8F417E14B8BF	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɤ̟	81748B076706BEF31511734ABD41B88E	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ø̆	81A936441673EB116038122228FF2435	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
ɢǃ	81B984CD31151900D2E06F9813956ECA	c-c	consonant		+	-	+	+	+	-	-	+	-	-	+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
wə	81E8780808C58D30E377652D3D0D6D4F	c-v	consonant	-		+	+,-	-	-	-	+	-			+	-	-	-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-,+	-	+,-		-
kǀ͓x	81EB235D497B749E26BC7FA956E2B490	c-c-d-c	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
b̪	82477870369D3FAB5AB761F676A52FE0	c-d	consonant		+	-		-	+	-	-	-	-	+	-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
sʼ	825B20CB261AC2AAD034C4B8C3BC5DFC	c-c	consonant		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
kǀ͓ˀ	8279D481E4D15ED51EBA8EFC2EA08651	c-c-d-c	consonant		+	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ï	8279E6E5716AE3B03F3EA84DC97B39B1	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɪ̙ˠ	82803586BFA36647BE194D5160B589AC	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	-		-
ɳʈʂ	828B87D90EE2E43D4E1E790230D2598A	c-c-c	consonant		-	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	+,-	-	-			-	+,-	-	-	+	-	-			-
e̞̠	82AFE915F321FCB772571D7EE17B5143	v-d-d	vowel	-	-	+	-		-	-	+	-		+	+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
wʲ	82D3CEC9D54DFBC7619D0B9EF5F4993E	c-d	consonant			+	+	-	-	-	+	-			+	-	-	+	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
ḛː	82DFD2CF7BF8223602E4B73891575947	v-d-d	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
nɟ	83145735AAAF58F0758F3C0B8A0D25F1	c-c	consonant		+,-	-	-	-	+	-	-	+	-	-,+	-,+	-	-	+	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-	-	-	-			-
ʌi	831550375544B6DDF0FDFB332954F16D	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-,+		-
t̪s̪ʰ	8320148991AF7DEE52866916B00B49A3	c-d-c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ɨ̞̃	83343C62121F27D32804B50B4F6E866C	v-c-d	vowel	-		+	-		-	-	+	-			+	-		-	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
õ̞ũ	833D119CAEE9D0F5A7122767AC28DB88	v-d-c-v-c	vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ḁ	83843751C883EFE80D3DBD0A856D9BC2	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	-	-	-		-	+	+	-		+	-			-
ʊː	83B243EB1B575E55E12B60AE84F2C166	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
zˤː	84124F66FF0A95FCE5AD9D32E73827D3	c-c-d	consonant	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	+	-	+		-	-	-	-	+	-	-			-
ŋ̥ǂ͓ˡʰ	84225243F66734E46DF10926E1BEE0F3	c-d-c-d-d-c	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	+	-	-			-	-	+	-	-	-	-			-
cçʼ	84288A5D605CF98D0898A9616D91BBCC	c-c-c	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
tʱ	845D0A619CA8F51092142D7010D26C38	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
ɡǀx	84D847563140DB64F68B28EC5BCDBFCF	c-c-c	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
˧˨˥	84E690AEB17697CBE9A74040FF946B7F	t-t-t	tone																																				+	
l͉	84ED98D9365F37811C23EABDBE6EB45C	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
ɑ̃ː	84FD9198ADD53CB38EF1B7A66DC0DB74	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	+	-	+	+	-	-		-	+	-	-		+	-			-
c	852A220443D41F0A63671A2F4DEC9788	c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
nt	85724A21B8DBE4FE9B73D6508EFC00D9	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
˧˥˨	857D75B84F09F4A23140F037B5BCAAA4	t-t-t	tone																																				+	
ʃ͇	858B050077668CE0480130DD268BBCD3	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɱ̥f	85B1FB573B5ED0E72085FA3DE57155C1	c-d-c	consonant			-		-	+	-	-,+	-	+		-	-	-			+	+	-	-		-	+,-	-	-		-	-	+,-	+	-		-	-			-
k̟ʲʰ	85B5166682FD88E2D0FFE59E8C158F61	c-d-d-c	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
ŋˤ	85D06E89D4091DAF4B0CEA6EEFF5E577	c-c	consonant	-		-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-	+		-	+	-	-		-	-			-
o˞	85D9EAD1314F1337C67A94D70430DFB4	v-d	vowel	-	+	+	+		-	-	+	+		+	+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	+	+	-	+		-
cʼ	8624F957F56BDEBB294A22FB14BB353B	c-c	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ʰt̠ʃ	863F89B15D4B4BE3721A1C1A1960A2AE	c-c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ɛ̘ː	864CB66ED17618DB28EE78E4612A4789	v-d-d	vowel	+		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɛ̙ˠ	864DCCB7D41F9094287530E35E5ADE71	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	-		-
ɡǂqʰ	867C7953EC1F41DEE71F0BC2A3047F49	c-c-c-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	+	-	-	-	-			-
ʁ̞ʷ	8689E722D82116F361785B830F165099	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ɸʰ	8696B7DABDC4117E46119F7E9F0A0A8A	c-c	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
ˀd̪	869A5450EB2F07594AA18C3F212FD633	c-c-d	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ŋkʲ	86AC2C4F8C236AA964E4A0F37679D2D6	c-c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	+,-	+,-	-			-	+,-	-	-		-	-			-
ye	86E03F5C51EF4DBB22E9C86AC396CB92	v-v	vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
f	86E80A7DA80F7F58CA76F85BACA48F86	c	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
õ̞ĩˤ	86E9F25B579816016C113BCD9C0E7DBF	v-d-c-v-c-c	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	+	+	-	+	+	-	+	-	-		+	-	+		-
xh	86FE39C078751DA20E9475073F2A1341	c-c	consonant			-	-	-	+,-	-	+	-	+		+,-	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-,+	-		-	-			-
ɳʈ	86FF194A51CE799C4E991C626FF7CA97	c-c	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
ntʷ	8701706D8FD1A55D3373C059B1B14D95	c-c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			+		-	-		-	+,-	+,-	-		+	-	+,-	-	-	-	-	-			-
qʰ	871B92989C5EC420B7D61B05731D1E83	c-c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
