IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
õ̞ˤ	0DEF3131EFF3398ADDFA195E143E2F6A	v-d-c-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	+	+	-	+	-	-		+	-	+		-
n̠ʃʷ	0E0F6E694AE5C902082498136BA6480E	c-d-c-d	consonant		-	-		-	+	-	-,+	+	+	+	-	-	-			+		-	-		-	+,-	+,-	-		+	-	+,-	-	-	-,+	-	-			-
ṳa	0E1AEB02E4D1AB8DE92AA7188056FCCB	v-d-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-,+	-	-	+	-	-	+	-	+	+	-		+	-	+		-
cçʷʰ	0E4BFF6EC473234FA81D1804F34A0379	c-c-d-c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	+	-	-	-	-			-
qχʷʼ	0E6B769D16BC510B7BCB6F4A77CAC233	c-c-d-c	consonant			-	+	-	+	+	-	-	+		+	-	-	-	-	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
qʘʼ	0E72CE90643803AAFCAC0DC59A142802	c-c-c	consonant			-	+	+	+	+	-	-	-		+	-	-	-	-	+	-	-	-	-	-	-	-	+		-	-	-	-	-		-	-			-
eo	0EBF5D0EECF3DD0F83B14B8A31E0C040	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	-	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɪ̙ː	0EDA337694C818AD0FEE750A7A314922	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	+		-	+	-	-		+	-	-		-
ã̟ː	0F01F4CE1EB6B0E8E28C37C047B60EE9	v-d-c-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	+	+	-	-		-	+	-	-		+	-			-
ŋ̤ǀ	0F074EAC3EBFB6089E6138C12F09A629	c-d-c	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	+	-	-	-	-			-
˨˧	0F2A0269330AAB53C42B7A0A79D63619	t-t	tone																																				+	
ʎ̟	0F4A01D09FA5A26DA871FB50D7FF0296	c-d	consonant		-	+	-	-	+	-	+	+		+	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
ɣʲ	0F59E77A64C885395DCE59483866178A	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ŋ̤	0F8984CD6F72879A4ED342F13843BD48	c-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	+	-		-	-			-
ˀɟ	0F898536114B87DB689DE6F519D871C7	c-c	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɗː	0F8D0A4E149EDA74294F860CA8F96E12	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		+	-	+	-			-	-	-	-	-	-	-			-
rː	0FD087805B29DDC87A7BC2D136B0A201	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-			-	+	-	-	-	-	-			+
iɛ	1015E79EACD7013D4873572B6AB0510D	v-v	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-
mˤː	102EF9BF4A5456A106737D1512DAD358	c-c-d	consonant	-		-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-	+	-	-	+	-	-		-	-			-
ts	106C7FE93D986D037407524D08F3599A	c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
n̪t̪s̪	10A5E46914C0DFE3765A51F685803232	c-d-c-d-c-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	-	-			-	+,-	-	-	+	-	-			-
ɥ̥	10AB112CEA66B5C8B7E82E1760324249	c-d	consonant			+	-	-	-	-	+	-			+	-	-	+	+	+	-	-	-	-	-	-	-	-		+	-	+	+	-		-	-	+		-
ø̞	10C5F2A99261A099822188533525F1B0	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
s̪ʼ	10C8D317F363F73D4CA0D66FDC45ED1C	c-d-c	consonant		+	-		-	+	+	+	+	+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
ʊ	10FD223095BD60FD89BEC828E5FD0A26	v	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɪ̆	1123504FF1D387702855744B3BD32BD5	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	-		-
cʲ	11569736E8FFFFBAC009D8E75E5D1F78	c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
œi	115AF4708E9049B2C8F7112F6E278A76	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
ɤ̞ː	1165119C3C837C2F90F43529AF000FCF	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
t̪ʷʰ	1174FC18E4C47D25CC01E2CA5642C6A0	c-d-d-c	consonant		+	-		-	+	-	-	+	-	+	-	-	-			+		-	-		-	-	-	-		+	-	-	+	-	-	-	-			-
