m	m 
wan3	w a˨˩˦ n
uan3	w a˨˩˦ n
weng3	w ə˨˩˦ ŋ
wang3	w a˨˩˦ ŋ
uang3	w a˨˩˦ ŋ
yu3	y˨˩˦ 
ü3	y˨˩˦ 
yue3	ɥe˨˩˦ 
üe3	ɥe˨˩˦ 
yun3	y˨˩˦ n
ün3	y˨˩˦ n
yuan3	ɥ ɛ˨˩˦ n
üan3	ɥ ɛ˨˩˦ n
er3	a ɚ˨˩˦ 
zi3	ts ɨ˨˩˦ 
ci3	tsʰ ɨ˨˩˦ 
si3	s ɨ˨˩˦ 
zhi3	ʈʂ ɯ˨˩˦ 
chi3	ʈʂʰ ɯ˨˩˦ 
shi3	ʂ ɯ˨˩˦ 
ri3	ʐ ɯ˨˩˦ 
ng3	ŋ˨˩˦ 
n3	n˨˩˦ 
ì	ɨ˥˩ 
è	ɤ˥˩ 
hè	x ɤ˥˩ 
à	a˥˩ 
èi	ei˥˩ 
ài	ai˥˩ 
òu	ou˥˩ 
ào	au˥˩ 
èn	ə˥˩ n
àn	a˥˩ n
òng	ʊ˥˩ ŋ
èng	ə˥˩ ŋ
àng	ɑ˥˩ ŋ
yì	i˥˩ 
yè	j e˥˩ 
yà	j a˥˩ 
ià	j a˥˩ 
yòu	j ou˥˩ 
iù	j ou˥˩ 
yào	j au˥˩ 
iào	j au˥˩ 
yìn	i˥˩ n
ìn	i˥˩ n
yàn	j ɛ˥˩ n
iàn	j ɛ˥˩ n
yòng	j ʊ˥˩ ŋ
iòng	j ʊ˥˩ ŋ
yìng	i˥˩ ŋ
ìng	i˥˩ ŋ
yàng	j a˥˩ ŋ
iàng	j a˥˩ ŋ
wù	u˥˩ 
ù	u˥˩ 
wò	w ɔ˥˩ 
uò	w o˥˩ 
wà	w a˥˩ 
uà	w a˥˩ 
wèi	w ei˥˩ 
uì	w ei˥˩ 
wài	w ai˥˩ 
uài	w ai˥˩ 
wèn	w ə˥˩ n
ùn	w ə˥˩ n
wàn	w a˥˩ n
uàn	w a˥˩ n
wèng	w ə˥˩ ŋ
wàng	w a˥˩ ŋ
uàng	w a˥˩ ŋ
yù	y˥˩ 
ǜ	y˥˩ 
yuè	ɥe˥˩ 
üè	ɥe˥˩ 
yùn	y˥˩ n
ǜn	y˥˩ n
yuàn	ɥ ɛ˥˩ n
üàn	ɥ ɛ˥˩ n
èr	a ɚ˥˩ 
zì	ts ɨ˥˩ 
cì	tsʰ ɨ˥˩ 
sì	s ɨ˥˩ 
zhì	ʈʂ ɯ˥˩ 
chì	ʈʂʰ ɯ˥˩ 
shì	ʂ ɯ˥˩ 
rì	ʐ ɯ˥˩ 
ǹg	ŋ˥˩ 
ǹ	n˥˩ 
i4	ɨ˥˩ 
e4	ɤ˥˩ 
he4	x ɤ˥˩ 
a4	a˥˩ 
ei4	ei˥˩ 
ai4	ai˥˩ 
ou4	ou˥˩ 
ao4	au˥˩ 
en4	ə˥˩ n
an4	a˥˩ n
ong4	ʊ˥˩ ŋ
eng4	ə˥˩ ŋ
ang4	ɑ˥˩ ŋ
yi4	i˥˩ 
ye4	j e˥˩ 
ya4	j a˥˩ 
ia4	j a˥˩ 
you4	j ou˥˩ 
iu4	j ou˥˩ 
yao4	j au˥˩ 
iao4	j au˥˩ 
yin4	i˥˩ n
in4	i˥˩ n
yan4	j ɛ˥˩ n
ian4	j ɛ˥˩ n
yong4	j ʊ˥˩ ŋ
iong4	j ʊ˥˩ ŋ
ying4	i˥˩ ŋ
ing4	i˥˩ ŋ
yang4	j a˥˩ ŋ
iang4	j a˥˩ ŋ
wu4	u˥˩ 
u4	u˥˩ 
wo4	w ɔ˥˩ 
uo4	w o˥˩ 
wa4	w a˥˩ 
ua4	w a˥˩ 
wei4	w ei˥˩ 
ui4	w ei˥˩ 
