Language,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),SBS Texts -,(Source),Swadesh Texts -,(Source),Wikitexts -,(Source)
Japanese,jpn,ja,Japanese/Japanese_segments.html,http://phoible.org/languages/jpn,Japanese/Japanese_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Japanese_language,,,sbs-pages/20150418/japanese.txt,http://www.sbs.com.au/yourlanguage/japanese/,Japanese/Japanese_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Japanese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ja/,http://ja.wikipedia.org
Levantine Arabic,ajp,,Jordanian-Arabic/Jordanian-Arabic_segments.html,http://phoible.org/languages/ajp,Jordanian-Arabic/Jordanian-Arabic_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Levantine_Arabic,,,,,Jordanian-Arabic/Jordanian-Arabic_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Palestinian_Arabic_Swadesh_list,,
Kannada,kan,kn,Kannada/Kannada_segments.html,http://phoible.org/languages/kan,Kannada/Kannada_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Kannada_language,,,sbs-pages/20150418/kannada.txt,http://www.sbs.com.au/yourlanguage/kannada/,Kannada/Kannada_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/kn/,http://kn.wikipedia.org
Khmer,khm,km,Khmer/Khmer_segments.html,http://phoible.org/languages/khm,Khmer/Khmer_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Khmer_language,,,sbs-pages/20150418/khmer.txt,http://www.sbs.com.au/yourlanguage/khmer/,Khmer/Khmer_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Khmer_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/km/,http://km.wikipedia.org
Korean,kor,ko,Korean/Korean_segments.html,http://phoible.org/languages/kor,Korean/Korean_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Korean_language,,,sbs-pages/20150418/korean.txt,http://www.sbs.com.au/yourlanguage/korean?language=ko,Korean/Korean_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Korean_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ko/,http://ko.wikipedia.org
Kurdish,kmr,ku,Kurdish/Kurdish_segments.html,http://phoible.org/languages/kmr,Kurdish/Kurdish_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Kurdish_language,,,sbs-pages/20150418/kurdish.txt,http://www.sbs.com.au/yourlanguage/kurdish/,Kurdish/Kurdish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Kurdish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ku/,http://ku.wikipedia.org
Kyrgyz,kir,,Kyrgyz/Kyrgyz_segments.html,http://phoible.org/languages/kir,Kyrgyz/Kyrgyz_Arabic_orthography_dict.txt;Kyrgyz/Kyrgyz_Cyrillic_orthography_dict.txt;Kyrgyz/Kyrgyz_Turkish_orthography_dict.txt,https://en.wikipedia.org/wiki/Kyrgyz_alphabets,,,,,,,,
Lao,lao,lo,Lao/Lao_segments.html,http://phoible.org/languages/lao,Lao/Lao_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Lao_language,,,sbs-pages/20150418/lao.txt,http://www.sbs.com.au/yourlanguage/lao/,Lao/Lao_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Tai-Kadai_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lo/,http://lo.wikipedia.org
Latvian,lav,lv,Latvian/Latvian_segments.html,http://phoible.org/languages/lav,Latvian/Latvian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Latvian_language,,,sbs-pages/20150418/latvian.txt,http://www.sbs.com.au/yourlanguage/latvian/,Latvian/Latvian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Latvian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lv/,http://lv.wikipedia.org
Lithuanian,lit,lt,Lithuanian/Lithuanian_segments.html,http://phoible.org/languages/lit,Lithuanian/Lithuanian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Lithuanian_language,,,sbs-pages/20150418/lithuanian.txt,http://www.sbs.com.au/yourlanguage/lithuanian/,Lithuanian/Lithuanian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Lithuanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/lt/,http://lt.wikipedia.org
